time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
7378.52591,1.0,20004.453,0.2808,-0.01569,0.28124,3.19757
7378.66891,1.0,15829.126,0.28677,0.00253,0.28678,-0.50586
7378.81091,1.0,12516.703,0.29463,0.0203,0.29533,-3.94058
7378.95291,1.0,9909.4424,0.30458,0.03435,0.30652,-6.43524
7379.11691,1.0,7835.48,0.3145,0.04843,0.3182,-8.75354
7379.31791,1.0,6217.2461,0.32475,0.05927,0.33012,-10.34346
7379.55591,1.0,4905.291,0.3371,0.06918,0.34413,-11.59755
7379.79491,1.0,3881.2737,0.34838,0.07913,0.35726,-12.7971
7380.03191,1.0,3070.9827,0.36129,0.08871,0.37202,-13.79478
7380.27091,1.0,2430.7778,0.37616,0.09751,0.38859,-14.53197
7380.50891,1.0,1923.1537,0.39179,0.10614,0.40592,-15.15881
7380.74691,1.0,1522.4358,0.40883,0.11373,0.42436,-15.54535
7380.98491,1.0,1203.8446,0.42871,0.12533,0.44666,-16.29603
7381.22291,1.0,952.86591,0.44628,0.13376,0.4659,-16.68511
7381.46191,1.0,754.27557,0.46756,0.14417,0.48929,-17.13687
7381.69891,1.0,596.71857,0.48837,0.15317,0.51183,-17.41373
7381.93591,1.0,471.96338,0.51141,0.16407,0.53709,-17.78702
7382.17491,1.0,373.20856,0.53411,0.17389,0.56171,-18.03315
7382.41291,1.0,295.47278,0.56191,0.18517,0.59164,-18.23919
7382.65191,1.0,233.87738,0.58853,0.19748,0.62078,-18.54858
7382.88991,1.0,185.05922,0.61734,0.21078,0.65233,-18.85139
7383.12591,1.0,146.35823,0.65083,0.22293,0.68795,-18.90817
7383.36291,1.0,115.77804,0.68451,0.2365,0.72421,-19.05984
7383.59691,1.0,91.6721,0.72277,0.24674,0.76373,-18.84892
7383.84291,1.0,72.51701,0.76049,0.25809,0.80309,-18.74545
7384.07191,1.0,57.36816,0.80194,0.27018,0.84624,-18.61917
7384.30791,1.0,45.3629,0.8452,0.27846,0.88989,-18.23505
7384.54091,1.0,35.93134,0.88576,0.28574,0.93071,-17.87966
7384.79091,1.0,28.40909,0.92621,0.29657,0.97254,-17.7551
7385.00591,1.0,22.48202,0.96967,0.30504,1.01652,-17.46235
7385.26991,1.0,17.79613,1.0128,0.31801,1.06155,-17.43189
7385.52291,1.0,14.06813,1.05569,0.33177,1.1066,-17.44616
7385.73891,1.0,11.1448,1.10687,0.34959,1.16077,-17.52823
7386.00591,1.0,8.81772,1.15982,0.37215,1.21807,-17.78983
7386.18391,1.0,6.97545,1.23015,0.38849,1.29003,-17.52665
7386.40191,1.0,5.5173,1.28497,0.40441,1.34711,-17.47006
7386.67191,1.0,4.36941,1.37466,0.41595,1.43621,-16.83496
7387.00691,1.0,3.45686,1.44668,0.42796,1.50865,-16.47921
7387.42491,1.0,2.73547,1.52744,0.40772,1.58093,-14.94562
7387.95091,1.0,2.16054,1.61173,0.39119,1.65853,-13.6425
7388.60991,1.0,1.70952,1.6787,0.36515,1.71795,-12.27187
7389.43791,1.0,1.35352,1.73598,0.32711,1.76653,-10.67115
7390.48091,1.0,1.07079,1.78586,0.289,1.80909,-9.19234
7391.79491,1.0,0.84734,1.82445,0.25388,1.84203,-7.92192
7393.44991,1.0,0.67072,1.85358,0.2233,1.86698,-6.86928
7395.53891,1.0,0.53067,1.87363,0.19672,1.88393,-5.99384
7398.17591,1.0,0.41976,1.89086,0.1747,1.89891,-5.27856
7401.50691,1.0,0.33183,1.90593,0.15835,1.9125,-4.74924
7405.71291,1.0,0.26261,1.91939,0.14854,1.92513,-4.42531
7411.02091,1.0,0.20791,1.93026,0.14397,1.93562,-4.2656
7417.72491,1.0,0.16452,1.93942,0.14293,1.94468,-4.21502
7426.20191,1.0,0.13007,1.95081,0.14639,1.95629,-4.29159
7436.89191,1.0,0.10309,1.96487,0.15521,1.97099,-4.5165
7450.40591,1.0,0.08153,1.98113,0.17184,1.98857,-4.95721
7467.50391,1.0,0.06443,1.99833,0.19591,2.00791,-5.59922
7489.08992,1.0,0.05102,2.01225,0.22094,2.02434,-6.26576
7516.33292,1.0,0.04042,2.03646,0.2454,2.0512,-6.87124
7550.82792,1.0,0.03192,2.07291,0.27961,2.09168,-7.68223
7594.37492,1.0,0.02528,2.11558,0.32829,2.1409,-8.82069
7649.44092,1.0,0.01999,2.15716,0.38161,2.19065,-10.03206
23396.18362,2.0,20004.453,0.28226,-0.01693,0.28277,3.4322
23396.32662,2.0,15829.126,0.28884,0.00274,0.28885,-0.54392
23396.46862,2.0,12516.703,0.29797,0.0201,0.29865,-3.85963
23396.61062,2.0,9909.4424,0.3072,0.03548,0.30924,-6.58732
23396.77462,2.0,7835.48,0.31772,0.04839,0.32138,-8.65911
23396.97562,2.0,6217.2461,0.3289,0.05895,0.33414,-10.16145
23397.21362,2.0,4905.291,0.34207,0.06926,0.34901,-11.44548
23397.45262,2.0,3881.2737,0.35259,0.07899,0.36133,-12.62689
23397.69062,2.0,3070.9827,0.36755,0.08891,0.37815,-13.59865
23397.92862,2.0,2430.7778,0.38262,0.09917,0.39526,-14.53024
23398.16662,2.0,1923.1537,0.39893,0.10875,0.41348,-15.24865
23398.40462,2.0,1522.4358,0.4162,0.11893,0.43286,-15.94717
23398.64262,2.0,1203.8446,0.43491,0.12694,0.45306,-16.27077
23398.88162,2.0,952.86591,0.45169,0.13681,0.47196,-16.85105
23399.11962,2.0,754.27557,0.47375,0.14526,0.49552,-17.04643
23399.35662,2.0,596.71857,0.49582,0.15527,0.51956,-17.38888
23399.59462,2.0,471.96338,0.51835,0.16521,0.54404,-17.67808
23399.83362,2.0,373.20856,0.54138,0.17775,0.56981,-18.17621
23400.07162,2.0,295.47278,0.56926,0.18755,0.59936,-18.23545
23400.31062,2.0,233.87738,0.59755,0.19914,0.62986,-18.43148
23400.54862,2.0,185.05922,0.62844,0.2114,0.66304,-18.59264
23400.78462,2.0,146.35823,0.65953,0.22591,0.69714,-18.90811
23401.02062,2.0,115.77804,0.69548,0.23647,0.73458,-18.77805
23401.25562,2.0,91.6721,0.73041,0.25,0.77201,-18.89486
23401.50062,2.0,72.51701,0.77308,0.25952,0.81548,-18.55699
23401.72962,2.0,57.36816,0.813,0.26895,0.85633,-18.30487
23401.96662,2.0,45.3629,0.85566,0.28087,0.90058,-18.17246
23402.19862,2.0,35.93134,0.89739,0.28818,0.94252,-17.80336
23402.44862,2.0,28.40909,0.94116,0.29622,0.98667,-17.47077
23402.66362,2.0,22.48202,0.9818,0.30692,1.02865,-17.35986
23402.92762,2.0,17.79613,1.02528,0.31822,1.07353,-17.24296
23403.18062,2.0,14.06813,1.07325,0.33552,1.12447,-17.36046
23403.39662,2.0,11.1448,1.12346,0.35107,1.17703,-17.35353
23403.66362,2.0,8.81772,1.17889,0.3671,1.23472,-17.29627
23403.84162,2.0,6.97545,1.23701,0.39001,1.29704,-17.49921
23404.05962,2.0,5.5173,1.31331,0.39625,1.37178,-16.78942
23404.32862,2.0,4.36941,1.37763,0.41092,1.43761,-16.60893
23404.66462,2.0,3.45686,1.46143,0.40198,1.51571,-15.37957
23405.08262,2.0,2.73547,1.54379,0.3976,1.59417,-14.44264
23405.60762,2.0,2.16054,1.61203,0.37685,1.65549,-13.158
23406.26762,2.0,1.70952,1.67812,0.34256,1.71273,-11.53759
23407.09562,2.0,1.35352,1.73575,0.30838,1.76293,-10.07424
23408.13862,2.0,1.07079,1.77852,0.27409,1.79951,-8.76105
