time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
9391.45992,1.0,20004.453,0.27511,-0.02356,0.27611,4.89516
9391.60292,1.0,15829.126,0.28172,-0.00097,0.28172,0.19665
9391.74492,1.0,12516.703,0.28929,0.0175,0.28982,-3.46181
9391.88692,1.0,9909.4424,0.29862,0.03236,0.30037,-6.1839
9392.05092,1.0,7835.48,0.30913,0.04669,0.31264,-8.58889
9392.25192,1.0,6217.2461,0.32097,0.05963,0.32646,-10.5237
9392.48992,1.0,4905.291,0.3341,0.0699,0.34133,-11.81667
9392.72892,1.0,3881.2737,0.34843,0.08283,0.35814,-13.37228
9392.96692,1.0,3070.9827,0.36085,0.09231,0.37247,-14.34984
9393.20492,1.0,2430.7778,0.37716,0.10305,0.39099,-15.28203
9393.44292,1.0,1923.1537,0.39297,0.11339,0.409,-16.09506
9393.68092,1.0,1522.4358,0.41296,0.12285,0.43085,-16.56737
9393.91892,1.0,1203.8446,0.43038,0.13303,0.45048,-17.17612
9394.15792,1.0,952.86591,0.4517,0.14123,0.47326,-17.36202
9394.39592,1.0,754.27557,0.475,0.15313,0.49907,-17.86847
9394.63292,1.0,596.71857,0.49659,0.16183,0.5223,-18.05001
9394.87092,1.0,471.96338,0.52167,0.17163,0.54918,-18.21105
9395.10992,1.0,373.20856,0.54806,0.18155,0.57734,-18.32818
9395.34792,1.0,295.47278,0.57545,0.19182,0.60658,-18.43497
9395.58692,1.0,233.87738,0.60358,0.20189,0.63645,-18.49428
9395.82492,1.0,185.05922,0.63573,0.21235,0.67025,-18.47063
9396.06092,1.0,146.35823,0.6684,0.22176,0.70422,-18.35502
9396.29792,1.0,115.77804,0.7035,0.23431,0.7415,-18.42095
9396.53192,1.0,91.6721,0.74138,0.24293,0.78017,-18.14259
9396.77692,1.0,72.51701,0.78067,0.25197,0.82033,-17.88781
9397.00592,1.0,57.36816,0.8215,0.26101,0.86197,-17.62601
9397.24292,1.0,45.3629,0.86383,0.26692,0.90413,-17.17096
9397.47492,1.0,35.93134,0.90663,0.2715,0.94641,-16.67057
9397.72592,1.0,28.40909,0.95361,0.27416,0.99224,-16.03981
9397.93992,1.0,22.48202,0.99919,0.27784,1.0371,-15.5393
9398.20492,1.0,17.79613,1.045,0.27541,1.08069,-14.76468
9398.45692,1.0,14.06813,1.0955,0.27294,1.12899,-13.99012
9398.67292,1.0,11.1448,1.141,0.26333,1.17099,-12.9959
9398.93992,1.0,8.81772,1.18766,0.25102,1.2139,-11.93423
9399.11892,1.0,6.97545,1.22979,0.23828,1.25266,-10.96536
9399.33692,1.0,5.5173,1.2659,0.21679,1.28433,-9.71769
9399.60592,1.0,4.36941,1.29684,0.19582,1.31154,-8.58676
9399.94092,1.0,3.45686,1.32776,0.17379,1.33908,-7.45688
9400.35992,1.0,2.73547,1.35259,0.15942,1.36195,-6.7222
9400.88492,1.0,2.16054,1.36856,0.14682,1.37641,-6.12348
9401.54292,1.0,1.70952,1.37883,0.13432,1.38536,-5.56377
9402.37192,1.0,1.35352,1.38793,0.12031,1.39313,-4.9544
9403.41492,1.0,1.07079,1.3978,0.10708,1.4019,-4.38069
9404.72792,1.0,0.84734,1.41179,0.09474,1.41497,-3.83934
9406.38392,1.0,0.67072,1.42959,0.08739,1.43226,-3.49829
9408.47292,1.0,0.53067,1.4518,0.08832,1.45449,-3.48123
9411.10892,1.0,0.41976,1.47236,0.10299,1.47596,-4.00112
9414.44092,1.0,0.33183,1.48054,0.12757,1.48603,-4.92457
9418.64692,1.0,0.26261,1.47228,0.15077,1.47998,-5.84707
9423.95492,1.0,0.20791,1.4527,0.16168,1.46166,-6.35076
9430.65892,1.0,0.16452,1.43347,0.15156,1.44146,-6.03548
9439.13592,1.0,0.13007,1.42875,0.12074,1.43384,-4.83041
9449.82592,1.0,0.10309,1.45758,0.07965,1.45976,-3.12764
9463.33992,1.0,0.08153,1.53298,0.0515,1.53384,-1.92423
9480.43692,1.0,0.06443,1.63684,0.06507,1.63813,-2.27644
9502.02392,1.0,0.05102,1.7713,0.15825,1.77836,-5.10518
9529.26692,1.0,0.04042,1.85685,0.35017,1.88958,-10.67966
9563.76193,1.0,0.03192,1.82369,0.59216,1.91742,-17.98892
9607.30993,1.0,0.02528,1.64592,0.78456,1.82335,-25.48581
9662.37493,1.0,0.01999,1.36846,0.82118,1.59594,-30.96696
25564.73603,2.0,20004.453,0.27785,-0.02207,0.27873,4.5415
25564.87903,2.0,15829.126,0.28588,-0.00193,0.28588,0.3876
25565.02103,2.0,12516.703,0.29249,0.01747,0.29301,-3.41735
25565.16303,2.0,9909.4424,0.3029,0.03251,0.30464,-6.12579
25565.32703,2.0,7835.48,0.31333,0.04745,0.3169,-8.61166
25565.52803,2.0,6217.2461,0.32546,0.06124,0.33117,-10.65644
25565.76603,2.0,4905.291,0.33684,0.07181,0.34441,-12.0347
25566.00503,2.0,3881.2737,0.35144,0.08242,0.36098,-13.19836
25566.24303,2.0,3070.9827,0.36558,0.09379,0.37742,-14.38905
25566.48103,2.0,2430.7778,0.38233,0.10427,0.39629,-15.25418
25566.71903,2.0,1923.1537,0.3997,0.1158,0.41614,-16.15735
