time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
14267.69519,1.0,20004.453,0.32961,-0.01293,0.32987,2.24624
14267.83719,1.0,15829.126,0.33579,0.00529,0.33583,-0.90195
14267.97919,1.0,12516.703,0.34493,0.02095,0.34557,-3.47554
14268.12119,1.0,9909.4424,0.35563,0.03201,0.35707,-5.14263
14268.28619,1.0,7835.48,0.36321,0.04514,0.366,-7.08399
14268.48619,1.0,6217.2461,0.37168,0.05584,0.37586,-8.54343
14268.72519,1.0,4905.291,0.38475,0.06544,0.39027,-9.65244
14268.96319,1.0,3881.2737,0.39693,0.07386,0.40374,-10.54163
14269.20119,1.0,3070.9827,0.41129,0.08394,0.41976,-11.53578
14269.43919,1.0,2430.7778,0.42325,0.09187,0.43311,-12.24696
14269.67719,1.0,1923.1537,0.4373,0.10167,0.44897,-13.08877
14269.91519,1.0,1522.4358,0.4557,0.10958,0.46869,-13.52126
14270.15419,1.0,1203.8446,0.46859,0.11707,0.48299,-14.02734
14270.39219,1.0,952.86591,0.48771,0.12616,0.50376,-14.50266
14270.63019,1.0,754.27557,0.50824,0.13351,0.52548,-14.71876
14270.86819,1.0,596.71857,0.52701,0.14606,0.54687,-15.49101
14271.10519,1.0,471.96338,0.54227,0.15299,0.56344,-15.75521
14271.34419,1.0,373.20856,0.56792,0.1606,0.59019,-15.79004
14271.80219,1.0,295.47278,0.59773,0.17375,0.62247,-16.20817
14272.04119,1.0,233.87738,0.62424,0.18733,0.65174,-16.70417
14272.27919,1.0,185.05922,0.65086,0.1978,0.68026,-16.90464
14272.51519,1.0,146.35823,0.67262,0.20934,0.70445,-17.28739
14272.75219,1.0,115.77804,0.70355,0.22198,0.73774,-17.51154
14272.98619,1.0,91.6721,0.7437,0.23273,0.77926,-17.37669
14273.23119,1.0,72.51701,0.7691,0.24207,0.8063,-17.47119
14273.46119,1.0,57.36816,0.81037,0.2345,0.84362,-16.13926
14273.69719,1.0,45.3629,0.84093,0.24141,0.8749,-16.01765
14273.92919,1.0,35.93134,0.87993,0.28639,0.92536,-18.02864
14274.18019,1.0,28.40909,0.89047,0.28207,0.93408,-17.57625
14274.39419,1.0,22.48202,0.92651,0.31265,0.97784,-18.64689
14274.65919,1.0,17.79613,0.99462,0.34964,1.05429,-19.36839
14274.91119,1.0,14.06813,1.0503,0.30733,1.09434,-16.30999
14275.12719,1.0,11.1448,1.06348,0.42146,1.14394,-21.61845
14275.39519,1.0,8.81772,1.11045,0.34768,1.16361,-17.38515
14275.57319,1.0,6.97545,1.26623,0.4018,1.32845,-17.60508
14275.79119,1.0,5.5173,1.29789,0.56168,1.41421,-23.40124
14276.06019,1.0,4.36941,1.25718,0.56242,1.37725,-24.102
14276.39519,1.0,3.45686,1.31561,0.46413,1.39508,-19.43215
14276.81419,1.0,2.73547,1.50924,0.35889,1.55132,-13.37644
