time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
15428.58025,1.0,20004.453,0.30841,-0.01514,0.30878,2.81055
15428.72325,1.0,15829.126,0.3157,0.00553,0.31575,-1.00415
15428.86525,1.0,12516.703,0.32282,0.02104,0.3235,-3.72878
15429.00725,1.0,9909.4424,0.33259,0.03547,0.33448,-6.0874
15429.17125,1.0,7835.48,0.34361,0.04944,0.34714,-8.18751
15429.37225,1.0,6217.2461,0.35527,0.06215,0.36067,-9.92282
15429.61025,1.0,4905.291,0.3671,0.07058,0.37382,-10.88341
15429.84825,1.0,3881.2737,0.38082,0.08153,0.38945,-12.08419
15430.08625,1.0,3070.9827,0.395,0.08995,0.40511,-12.82831
15430.32525,1.0,2430.7778,0.40915,0.09933,0.42103,-13.64621
15430.56325,1.0,1923.1537,0.42507,0.10941,0.43893,-14.43477
15430.80125,1.0,1522.4358,0.44116,0.11777,0.45661,-14.94697
15431.03925,1.0,1203.8446,0.45984,0.12622,0.47685,-15.34827
15431.27825,1.0,952.86591,0.47989,0.13511,0.49854,-15.72442
15431.51625,1.0,754.27557,0.50015,0.14279,0.52013,-15.93373
15431.75325,1.0,596.71857,0.52171,0.1523,0.54349,-16.27417
15431.99125,1.0,471.96338,0.54304,0.16249,0.56683,-16.65807
15432.23025,1.0,373.20856,0.56889,0.17289,0.59458,-16.90451
15432.46825,1.0,295.47278,0.59487,0.1828,0.62232,-17.08207
15432.70725,1.0,233.87738,0.62247,0.19363,0.65189,-17.27893
15432.94525,1.0,185.05922,0.65132,0.20409,0.68255,-17.39808
15433.18125,1.0,146.35823,0.68232,0.21565,0.71559,-17.5393
15433.41725,1.0,115.77804,0.71716,0.22859,0.75272,-17.67955
15433.65225,1.0,91.6721,0.7517,0.23855,0.78864,-17.60648
15433.89725,1.0,72.51701,0.78877,0.2483,0.82693,-17.47361
15434.12625,1.0,57.36816,0.82952,0.25673,0.86834,-17.19728
15434.36325,1.0,45.3629,0.86951,0.26623,0.90936,-17.02343
15434.59525,1.0,35.93134,0.90963,0.27157,0.9493,-16.62293
15434.84525,1.0,28.40909,0.94965,0.27725,0.9893,-16.27528
15435.06025,1.0,22.48202,0.99322,0.28682,1.0338,-16.10732
15435.32525,1.0,17.79613,1.03546,0.29454,1.07653,-15.87839
15435.57725,1.0,14.06813,1.08335,0.30458,1.12535,-15.70322
15435.79325,1.0,11.1448,1.136,0.31373,1.17853,-15.43877
15436.06025,1.0,8.81772,1.18865,0.31874,1.23064,-15.01075
15436.23925,1.0,6.97545,1.247,0.32581,1.28886,-14.64287
15436.45725,1.0,5.5173,1.3093,0.31194,1.34595,-13.40099
15436.72625,1.0,4.36941,1.36512,0.30891,1.39964,-12.7504
15437.06125,1.0,3.45686,1.41962,0.28456,1.44786,-11.33454
15437.48025,1.0,2.73547,1.47138,0.26247,1.49461,-10.11422
15438.00525,1.0,2.16054,1.50941,0.23642,1.52781,-8.90195
15438.66425,1.0,1.70952,1.54275,0.20597,1.55644,-7.60443
15439.49325,1.0,1.35352,1.56974,0.18033,1.58006,-6.55348
15440.53625,1.0,1.07079,1.58988,0.15834,1.59774,-5.68729
15441.84925,1.0,0.84734,1.60428,0.1392,1.61031,-4.95899
15443.50525,1.0,0.67072,1.61584,0.12445,1.62062,-4.40419
15445.59425,1.0,0.53067,1.62503,0.11233,1.62891,-3.95434
15448.23125,1.0,0.41976,1.63339,0.10374,1.63669,-3.63421
15451.56225,1.0,0.33183,1.64032,0.09969,1.64335,-3.47794
15455.76825,1.0,0.26261,1.64748,0.09817,1.6504,-3.41002
15461.07625,1.0,0.20791,1.65559,0.09972,1.65859,-3.44685
15467.78025,1.0,0.16452,1.66578,0.10563,1.66913,-3.62848
15476.25725,1.0,0.13007,1.67666,0.11742,1.68077,-4.00606
15486.94725,1.0,0.10309,1.68612,0.13562,1.69157,-4.59872
15500.46125,1.0,0.08153,1.69336,0.1565,1.70057,-5.28041
15517.55925,1.0,0.06443,1.70204,0.17907,1.71144,-6.00585
15539.14525,1.0,0.05102,1.71825,0.19937,1.72978,-6.61864
15566.38826,1.0,0.04042,1.74117,0.22852,1.7561,-7.47698
15600.88326,1.0,0.03192,1.76793,0.26499,1.78768,-8.52454
15644.43126,1.0,0.02528,1.80252,0.30185,1.82762,-9.50651
15699.49626,1.0,0.01999,1.85496,0.34337,1.88647,-10.48721
31125.25157,2.0,20004.453,0.30973,-0.01468,0.31008,2.71276
31125.39457,2.0,15829.126,0.31762,0.0044,0.31765,-0.79281
31125.53657,2.0,12516.703,0.32415,0.02316,0.32498,-4.08592
31125.67857,2.0,9909.4424,0.3339,0.03461,0.33569,-5.91831
31125.84257,2.0,7835.48,0.34478,0.04903,0.34824,-8.09293
31126.04357,2.0,6217.2461,0.3561,0.05992,0.36111,-9.55179
31126.28157,2.0,4905.291,0.36786,0.07248,0.37493,-11.14599
31126.51957,2.0,3881.2737,0.38314,0.08173,0.39176,-12.04176
31126.75757,2.0,3070.9827,0.39536,0.09183,0.40589,-13.07557
31126.99657,2.0,2430.7778,0.41143,0.09925,0.42323,-13.56194
31127.23457,2.0,1923.1537,0.42838,0.11035,0.44237,-14.44553
31127.47157,2.0,1522.4358,0.44528,0.11865,0.46082,-14.92077
31127.71057,2.0,1203.8446,0.46308,0.12628,0.47999,-15.25308
31127.94857,2.0,952.86591,0.48277,0.13647,0.50169,-15.7851
31128.18757,2.0,754.27557,0.50393,0.14576,0.52459,-16.13215
31128.42457,2.0,596.71857,0.52444,0.15424,0.54665,-16.3889
31128.66157,2.0,471.96338,0.54926,0.16338,0.57304,-16.56525
31128.90157,2.0,373.20856,0.57336,0.17241,0.59872,-16.73639
31129.13857,2.0,295.47278,0.59978,0.18393,0.62735,-17.04829
31129.37757,2.0,233.87738,0.6264,0.19578,0.65628,-17.35667
31129.61557,2.0,185.05922,0.65667,0.20591,0.6882,-17.40945
31129.85257,2.0,146.35823,0.68762,0.21614,0.72079,-17.44967
31130.08857,2.0,115.77804,0.72119,0.22787,0.75633,-17.53464
31130.32257,2.0,91.6721,0.75766,0.23897,0.79445,-17.50543
31130.56857,2.0,72.51701,0.79588,0.24885,0.83387,-17.3629
31130.79757,2.0,57.36816,0.83507,0.2562,0.87348,-17.05583
31131.03457,2.0,45.3629,0.87465,0.26414,0.91367,-16.80411
31131.26657,2.0,35.93134,0.91578,0.27105,0.95505,-16.48763
31131.51657,2.0,28.40909,0.95513,0.27732,0.99458,-16.19029
31131.73157,2.0,22.48202,0.99807,0.28727,1.03859,-16.05716
31131.99657,2.0,17.79613,1.04294,0.29543,1.08398,-15.81573
31132.24857,2.0,14.06813,1.08915,0.30393,1.13076,-15.59164
31132.46457,2.0,11.1448,1.13975,0.31139,1.18152,-15.28058
31132.73157,2.0,8.81772,1.1947,0.31805,1.23631,-14.90729
31132.90957,2.0,6.97545,1.25618,0.31298,1.29459,-13.99041
31133.12857,2.0,5.5173,1.30687,0.30834,1.34275,-13.27544
31133.39757,2.0,4.36941,1.37072,0.29182,1.40144,-12.01842
31133.73257,2.0,3.45686,1.42321,0.27587,1.4497,-10.96983
31134.15157,2.0,2.73547,1.46604,0.25001,1.4872,-9.67772
31134.67657,2.0,2.16054,1.50657,0.22206,1.52285,-8.38477
31135.33557,2.0,1.70952,1.5365,0.19662,1.54903,-7.2924
31136.16457,2.0,1.35352,1.55896,0.17056,1.56826,-6.24377
31137.20657,2.0,1.07079,1.57722,0.14782,1.58413,-5.35419
31138.52057,2.0,0.84734,1.5917,0.12959,1.59696,-4.65444
31140.17657,2.0,0.67072,1.60358,0.11614,1.60778,-4.14239
31142.26557,2.0,0.53067,1.6121,0.10746,1.61568,-3.8137
31144.90157,2.0,0.41976,1.61947,0.10116,1.62262,-3.57423
31148.23357,2.0,0.33183,1.62583,0.09642,1.62869,-3.39411
31152.43857,2.0,0.26261,1.63218,0.09545,1.63496,-3.34701
31157.74757,2.0,0.20791,1.63922,0.09831,1.64216,-3.43221
31164.45157,2.0,0.16452,1.64669,0.104,1.64998,-3.6139
31172.92857,2.0,0.13007,1.65507,0.11271,1.65891,-3.89595
31183.61857,2.0,0.10309,1.66735,0.12452,1.67199,-4.27089
31197.13257,2.0,0.08153,1.68309,0.14407,1.68925,-4.89238
31214.22957,2.0,0.06443,1.69988,0.17173,1.70853,-5.76857
31235.81657,2.0,0.05102,1.71234,0.20487,1.72455,-6.82275
31263.05957,2.0,0.04042,1.72632,0.23558,1.74232,-7.77083
31297.55457,2.0,0.03192,1.75053,0.26574,1.77059,-8.63192
31341.10258,2.0,0.02528,1.7866,0.30367,1.81222,-9.6464
31396.16758,2.0,0.01999,1.82878,0.34937,1.86185,-10.81551
46506.24942,3.0,20004.453,0.30975,-0.01353,0.31005,2.50074
46506.39242,3.0,15829.126,0.31801,0.0063,0.31807,-1.1358
46506.53442,3.0,12516.703,0.32619,0.02076,0.32685,-3.64178
46506.67642,3.0,9909.4424,0.33549,0.03646,0.33747,-6.2026
46506.84042,3.0,7835.48,0.3463,0.04966,0.34985,-8.16132
46507.04142,3.0,6217.2461,0.35777,0.06111,0.36295,-9.69324
46507.27942,3.0,4905.291,0.36967,0.07164,0.37655,-10.96771
46507.51842,3.0,3881.2737,0.38307,0.08409,0.39219,-12.38075
46507.75642,3.0,3070.9827,0.3972,0.09101,0.4075,-12.90493
46507.99442,3.0,2430.7778,0.41292,0.10151,0.42521,-13.81129
46508.23242,3.0,1923.1537,0.42882,0.11089,0.44293,-14.49877
46508.47042,3.0,1522.4358,0.44522,0.11946,0.46097,-15.01961
