time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
13766.47358,1.0,20004.453,0.32373,-0.01651,0.32415,2.9198
13766.61558,1.0,15829.126,0.32973,0.00354,0.32975,-0.61576
13766.75758,1.0,12516.703,0.33952,0.02072,0.34015,-3.49195
13766.89958,1.0,9909.4424,0.34744,0.03524,0.34922,-5.79195
13767.06458,1.0,7835.48,0.35951,0.04796,0.3627,-7.5993
13767.26458,1.0,6217.2461,0.36975,0.05897,0.37443,-9.0619
13767.50358,1.0,4905.291,0.38329,0.06944,0.38953,-10.26924
13767.74158,1.0,3881.2737,0.39385,0.07718,0.40134,-11.08682
13767.97958,1.0,3070.9827,0.40961,0.08779,0.41891,-12.09691
13768.21758,1.0,2430.7778,0.423,0.09671,0.43391,-12.87816
13768.45558,1.0,1923.1537,0.43833,0.1056,0.45087,-13.54495
13768.69358,1.0,1522.4358,0.45417,0.11498,0.4685,-14.20636
13768.93158,1.0,1203.8446,0.47191,0.1237,0.48786,-14.68859
13769.17058,1.0,952.86591,0.49201,0.13261,0.50957,-15.08406
13769.40858,1.0,754.27557,0.51177,0.14228,0.53118,-15.53667
13769.64658,1.0,596.71857,0.53217,0.15074,0.55311,-15.81498
13769.88358,1.0,471.96338,0.55361,0.16226,0.5769,-16.3356
13770.12258,1.0,373.20856,0.57872,0.17088,0.60342,-16.45016
13770.36058,1.0,295.47278,0.60442,0.18279,0.63146,-16.82661
13770.59958,1.0,233.87738,0.63249,0.19343,0.6614,-17.00464
13770.83758,1.0,185.05922,0.66048,0.20464,0.69146,-17.21454
13771.07358,1.0,146.35823,0.69161,0.21686,0.72481,-17.40956
13771.31058,1.0,115.77804,0.7249,0.2276,0.7598,-17.43118
13771.54458,1.0,91.6721,0.75832,0.23948,0.79524,-17.52652
13771.79058,1.0,72.51701,0.79475,0.25174,0.83367,-17.57588
13772.01958,1.0,57.36816,0.83113,0.26362,0.87194,-17.5979
13772.25558,1.0,45.3629,0.8701,0.2757,0.91273,-17.58145
13772.48858,1.0,35.93134,0.9067,0.28781,0.95128,-17.61066
13772.73858,1.0,28.40909,0.94823,0.30494,0.99606,-17.82713
13772.95258,1.0,22.48202,0.99086,0.32363,1.04238,-18.08786
13773.21758,1.0,17.79613,1.03443,0.34461,1.09033,-18.42501
13773.47058,1.0,14.06813,1.08946,0.37134,1.15101,-18.82136
13773.68658,1.0,11.1448,1.14501,0.39449,1.21106,-19.0102
13773.95358,1.0,8.81772,1.21282,0.42076,1.28374,-19.13309
13774.13158,1.0,6.97545,1.28164,0.45241,1.35915,-19.44254
13774.34958,1.0,5.5173,1.36872,0.45895,1.44362,-18.53688
13774.61958,1.0,4.36941,1.44745,0.46738,1.52104,-17.89525
13774.95458,1.0,3.45686,1.55053,0.45663,1.61637,-16.40948
13775.37258,1.0,2.73547,1.64335,0.45752,1.70585,-15.55763
13775.89758,1.0,2.16054,1.71185,0.43922,1.7673,-14.39018
13776.55758,1.0,1.70952,1.77228,0.40513,1.81799,-12.87625
13777.38558,1.0,1.35352,1.82207,0.36561,1.85838,-11.34602
13778.42858,1.0,1.07079,1.86649,0.32116,1.89392,-9.76318
