time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
10693.0795,1.0,15829.126,1.47431,-0.01624,1.4744,0.63113
10693.2215,1.0,12516.703,1.47853,-0.00456,1.47853,0.17659
10693.3635,1.0,9909.4424,1.48535,0.00372,1.48536,-0.14352
10693.5275,1.0,7835.48,1.4909,0.01311,1.49096,-0.50399
10693.7285,1.0,6217.2461,1.49569,0.01956,1.49582,-0.74918
10693.9665,1.0,4905.291,1.50203,0.02532,1.50224,-0.96575
10694.2055,1.0,3881.2737,1.50879,0.03171,1.50912,-1.20418
10694.4435,1.0,3070.9827,1.51347,0.03428,1.51386,-1.29752
10694.6815,1.0,2430.7778,1.52125,0.0389,1.52175,-1.46475
10694.9195,1.0,1923.1537,1.52808,0.0415,1.52865,-1.55562
10695.1575,1.0,1522.4358,1.5351,0.04287,1.5357,-1.59964
10695.3955,1.0,1203.8446,1.54235,0.0486,1.54311,-1.80471
10695.6345,1.0,952.86591,1.55086,0.05001,1.55166,-1.84678
10695.8725,1.0,754.27557,1.55829,0.05267,1.55918,-1.936
10696.1095,1.0,596.71857,1.5647,0.05516,1.56567,-2.01912
10696.3475,1.0,471.96338,1.57428,0.05888,1.57538,-2.1419
10696.5865,1.0,373.20856,1.58202,0.06201,1.58323,-2.24483
10696.8245,1.0,295.47278,1.59098,0.06404,1.59227,-2.30498
10697.0635,1.0,233.87738,1.60172,0.06802,1.60316,-2.43181
10697.3015,1.0,185.05922,1.61134,0.07146,1.61293,-2.53945
10697.5375,1.0,146.35823,1.62197,0.07498,1.6237,-2.64663
10697.7735,1.0,115.77804,1.63572,0.07917,1.63764,-2.77085
10698.0085,1.0,91.6721,1.65002,0.08252,1.65208,-2.86304
10698.2535,1.0,72.51701,1.66496,0.08136,1.66695,-2.79755
10698.4825,1.0,57.36816,1.68088,0.08302,1.68293,-2.82745
10698.7195,1.0,45.3629,1.69667,0.07897,1.69851,-2.66489
10698.9515,1.0,35.93134,1.71092,0.07723,1.71267,-2.58466
10699.2015,1.0,28.40909,1.72426,0.06839,1.72561,-2.27142
10699.4165,1.0,22.48202,1.73521,0.06295,1.73635,-2.07768
10699.6815,1.0,17.79613,1.74404,0.05482,1.7449,-1.80035
10699.9335,1.0,14.06813,1.75234,0.04955,1.75304,-1.61974
10700.1495,1.0,11.1448,1.75718,0.04218,1.75768,-1.37503
10700.4165,1.0,8.81772,1.76267,0.03787,1.76307,-1.2307
10700.5955,1.0,6.97545,1.76582,0.03548,1.76618,-1.15097
10700.8135,1.0,5.5173,1.76645,0.03143,1.76673,-1.01941
10701.0825,1.0,4.36941,1.77061,0.02544,1.77079,-0.82309
10701.4175,1.0,3.45686,1.77554,0.02468,1.77571,-0.79644
10701.8365,1.0,2.73547,1.77995,0.02622,1.78014,-0.84395
10702.3615,1.0,2.16054,1.77987,0.03036,1.78013,-0.97723
10703.0205,1.0,1.70952,1.77678,0.03166,1.77706,-1.02098
10703.8495,1.0,1.35352,1.7747,0.02906,1.77494,-0.93825
10704.8925,1.0,1.07079,1.77688,0.02387,1.77704,-0.76975
10706.2065,1.0,0.84734,1.78374,0.01964,1.78385,-0.63093
10707.8615,1.0,0.67072,1.79577,0.01992,1.79588,-0.6355
10709.9505,1.0,0.53067,1.81203,0.02755,1.81224,-0.87103
10712.5875,1.0,0.41976,1.82394,0.04779,1.82457,-1.50097
10715.9185,1.0,0.33183,1.82383,0.07398,1.82533,-2.32267
10720.1245,1.0,0.26261,1.80852,0.09591,1.81106,-3.03565
10725.4325,1.0,0.20791,1.78319,0.10275,1.78615,-3.29786
10732.1365,1.0,0.16452,1.75948,0.08708,1.76163,-2.8333
10740.6135,1.0,0.13007,1.75576,0.05076,1.7565,-1.65595
10751.30351,1.0,0.10309,1.78866,0.00509,1.78867,-0.16311
10764.81751,1.0,0.08153,1.86658,-0.02186,1.8667,0.671
10781.91451,1.0,0.06443,1.97082,-0.00462,1.97082,0.13417
10803.50051,1.0,0.05102,2.09241,0.09946,2.09477,-2.72131
10830.74351,1.0,0.04042,2.14697,0.28819,2.16623,-7.64515
10865.23851,1.0,0.03192,2.07551,0.51301,2.13798,-13.88363
10908.78451,1.0,0.02528,1.8542,0.6714,1.97202,-19.90527
10963.84952,1.0,0.01999,1.53117,0.64606,1.66189,-22.87675
27986.1048,2.0,20004.453,1.69399,-0.03061,1.69427,1.03514
27986.2478,2.0,15829.126,1.70101,-0.01459,1.70107,0.49128
27986.3898,2.0,12516.703,1.70545,-0.00276,1.70546,0.09272
27986.5318,2.0,9909.4424,1.71084,0.006,1.71085,-0.20088
27986.6958,2.0,7835.48,1.71755,0.01441,1.71761,-0.48058
27986.8968,2.0,6217.2461,1.721,0.02142,1.72114,-0.71297
27987.1348,2.0,4905.291,1.72844,0.02747,1.72866,-0.91068
27987.3738,2.0,3881.2737,1.73492,0.03202,1.73521,-1.05747
27987.6118,2.0,3070.9827,1.74097,0.03607,1.74134,-1.18705
27987.8498,2.0,2430.7778,1.74806,0.04107,1.74854,-1.34591
27988.0878,2.0,1923.1537,1.75489,0.04268,1.75541,-1.39327
27988.3258,2.0,1522.4358,1.76283,0.04499,1.7634,-1.4619
27988.5638,2.0,1203.8446,1.76953,0.04861,1.7702,-1.57361
27988.8028,2.0,952.86591,1.77835,0.0502,1.77906,-1.61693
27989.0408,2.0,754.27557,1.78595,0.05412,1.78677,-1.73563
27989.2778,2.0,596.71857,1.79317,0.05644,1.79406,-1.8027
27989.5158,2.0,471.96338,1.80255,0.05905,1.80351,-1.87615
27989.7548,2.0,373.20856,1.81042,0.06232,1.8115,-1.97136
27989.9918,2.0,295.47278,1.82029,0.06532,1.82146,-2.05508
27990.2318,2.0,233.87738,1.83047,0.06919,1.83178,-2.16479
27990.4698,2.0,185.05922,1.83946,0.07242,1.84088,-2.25461
27990.7058,2.0,146.35823,1.85021,0.07598,1.85177,-2.35153
27990.9418,2.0,115.77804,1.86332,0.07968,1.86502,-2.44875
27991.1768,2.0,91.6721,1.87883,0.08236,1.88063,-2.51
