time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
11074.14471,1.0,20004.453,0.28773,-0.01437,0.28809,2.85973
11074.28671,1.0,15829.126,0.29589,0.00488,0.29593,-0.94451
11074.42871,1.0,12516.703,0.30327,0.02336,0.30416,-4.40505
11074.57071,1.0,9909.4424,0.31464,0.0381,0.31694,-6.90442
11074.73571,1.0,7835.48,0.32542,0.05051,0.32931,-8.82319
11074.93571,1.0,6217.2461,0.33726,0.062,0.34291,-10.4167
11075.17371,1.0,4905.291,0.35023,0.0749,0.35815,-12.072
11075.41271,1.0,3881.2737,0.36432,0.08481,0.37406,-13.10437
11075.65071,1.0,3070.9827,0.37928,0.09415,0.39079,-13.94088
11075.88871,1.0,2430.7778,0.3929,0.10395,0.40642,-14.81965
11076.12671,1.0,1923.1537,0.4105,0.11186,0.42547,-15.24257
11076.36471,1.0,1522.4358,0.42826,0.12136,0.44513,-15.82188
11076.60271,1.0,1203.8446,0.44874,0.12968,0.4671,-16.11911
11076.84171,1.0,952.86591,0.4678,0.13838,0.48784,-16.47842
11077.07971,1.0,754.27557,0.48948,0.1482,0.51142,-16.84491
11077.31771,1.0,596.71857,0.51211,0.15678,0.53558,-17.0215
11077.55471,1.0,471.96338,0.53636,0.16711,0.56179,-17.30564
11077.79371,1.0,373.20856,0.56234,0.17534,0.58904,-17.31736
11078.03171,1.0,295.47278,0.59006,0.18529,0.61847,-17.43333
11078.27071,1.0,233.87738,0.61762,0.19474,0.64759,-17.50004
11078.50871,1.0,185.05922,0.64833,0.20264,0.67926,-17.35688
11078.74471,1.0,146.35823,0.67962,0.21306,0.71224,-17.40641
11078.98171,1.0,115.77804,0.71289,0.22163,0.74654,-17.27011
11079.21571,1.0,91.6721,0.74765,0.2283,0.78173,-16.98026
11079.46071,1.0,72.51701,0.78447,0.23649,0.81934,-16.77629
11079.68971,1.0,57.36816,0.82255,0.2419,0.85738,-16.38754
11079.92671,1.0,45.3629,0.86084,0.24818,0.8959,-16.08216
11080.15871,1.0,35.93134,0.89848,0.25217,0.93319,-15.67766
11080.40871,1.0,28.40909,0.93658,0.25772,0.97139,-15.38517
11080.62371,1.0,22.48202,0.97684,0.25991,1.01083,-14.89938
11080.88871,1.0,17.79613,1.02053,0.26522,1.05443,-14.56812
11081.14071,1.0,14.06813,1.06269,0.26714,1.09576,-14.11048
