time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
7412.45971,1.0,20004.453,0.28679,-0.02401,0.2878,4.78636
7412.60271,1.0,15829.126,0.2947,-0.00404,0.29473,0.78577
7412.74471,1.0,12516.703,0.30293,0.01391,0.30325,-2.62817
7412.88671,1.0,9909.4424,0.31197,0.02909,0.31332,-5.32808
7413.05071,1.0,7835.48,0.32211,0.0444,0.32516,-7.84746
7413.25171,1.0,6217.2461,0.33236,0.05563,0.33699,-9.50211
7413.48871,1.0,4905.291,0.34519,0.06929,0.35208,-11.34975
7413.72671,1.0,3881.2737,0.35782,0.07876,0.36639,-12.41407
7413.96571,1.0,3070.9827,0.37147,0.08848,0.38187,-13.39678
7414.20371,1.0,2430.7778,0.38578,0.09892,0.39826,-14.38148
7414.44171,1.0,1923.1537,0.40264,0.10897,0.41712,-15.14347
7414.67971,1.0,1522.4358,0.4185,0.11828,0.4349,-15.78207
7414.91771,1.0,1203.8446,0.43706,0.1271,0.45517,-16.21489
7415.15671,1.0,952.86591,0.45733,0.13631,0.47721,-16.59658
7415.39471,1.0,754.27557,0.47688,0.14616,0.49877,-17.03985
7415.63171,1.0,596.71857,0.49993,0.15576,0.52363,-17.30472
7415.86971,1.0,471.96338,0.5229,0.16568,0.54852,-17.58066
7416.10871,1.0,373.20856,0.54583,0.17743,0.57395,-18.00742
7416.34671,1.0,295.47278,0.57331,0.18976,0.60389,-18.31395
7416.58571,1.0,233.87738,0.60201,0.20143,0.63481,-18.49977
7416.82371,1.0,185.05922,0.63185,0.21467,0.66732,-18.76492
7417.05971,1.0,146.35823,0.66442,0.22971,0.70301,-19.07187
7417.29571,1.0,115.77804,0.69865,0.24314,0.73974,-19.18839
7417.53071,1.0,91.6721,0.73915,0.25678,0.78249,-19.15693
7417.77571,1.0,72.51701,0.77916,0.26856,0.82414,-19.01786
7418.00471,1.0,57.36816,0.8222,0.27955,0.86843,-18.77796
7418.24171,1.0,45.3629,0.86529,0.28731,0.91174,-18.36829
7418.47371,1.0,35.93134,0.9094,0.29817,0.95703,-18.15304
7418.72371,1.0,28.40909,0.95257,0.3054,1.00033,-17.77614
7418.93871,1.0,22.48202,0.99698,0.31551,1.04571,-17.56059
7419.20371,1.0,17.79613,1.0422,0.32835,1.0927,-17.48749
7419.45571,1.0,14.06813,1.09143,0.3404,1.14328,-17.32165
7419.67171,1.0,11.1448,1.14258,0.35602,1.19677,-17.30672
7419.93871,1.0,8.81772,1.19961,0.37402,1.25657,-17.31685
7420.11671,1.0,6.97545,1.27108,0.39206,1.33017,-17.14237
7420.33571,1.0,5.5173,1.33122,0.39497,1.38858,-16.52564
7420.60471,1.0,4.36941,1.41471,0.40754,1.47224,-16.07031
7420.93971,1.0,3.45686,1.4831,0.40086,1.53632,-15.1247
