time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
14257.30079,1.0,20004.453,0.33329,-0.0137,0.33357,2.35413
14257.44279,1.0,15829.126,0.33772,0.00194,0.33772,-0.32996
14257.58479,1.0,12516.703,0.34527,0.02023,0.34586,-3.35242
14257.72679,1.0,9909.4424,0.35637,0.03284,0.35788,-5.26555
14257.89179,1.0,7835.48,0.365,0.0437,0.3676,-6.82724
14258.09179,1.0,6217.2461,0.37481,0.05657,0.37905,-8.58336
14258.55079,1.0,4905.291,0.38619,0.06566,0.39173,-9.64978
14258.78879,1.0,3881.2737,0.39707,0.07408,0.40392,-10.5686
14259.02679,1.0,3070.9827,0.40935,0.08325,0.41773,-11.49526
14259.26479,1.0,2430.7778,0.42382,0.09134,0.43355,-12.16182
14259.50379,1.0,1923.1537,0.43972,0.1015,0.45128,-12.99811
14259.74079,1.0,1522.4358,0.45315,0.10677,0.46556,-13.25844
14259.97979,1.0,1203.8446,0.47177,0.11504,0.4856,-13.70336
14260.21779,1.0,952.86591,0.48845,0.1232,0.50374,-14.15678
14260.45679,1.0,754.27557,0.50492,0.13261,0.52204,-14.71567
14260.69379,1.0,596.71857,0.52721,0.13866,0.54514,-14.73507
14260.93079,1.0,471.96338,0.54743,0.14887,0.56731,-15.21378
14261.16979,1.0,373.20856,0.57199,0.15948,0.5938,-15.57911
14261.40779,1.0,295.47278,0.59241,0.16509,0.61499,-15.57165
14261.64579,1.0,233.87738,0.61811,0.17484,0.64237,-15.79433
14261.88379,1.0,185.05922,0.64339,0.18356,0.66906,-15.92365
14262.11979,1.0,146.35823,0.67571,0.19775,0.70405,-16.31234
14262.35679,1.0,115.77804,0.70613,0.20505,0.7353,-16.19275
14262.59079,1.0,91.6721,0.73613,0.21096,0.76577,-15.99082
14262.83679,1.0,72.51701,0.77153,0.22578,0.80389,-16.31153
14263.06579,1.0,57.36816,0.79147,0.24195,0.82762,-16.99856
14263.30179,1.0,45.3629,0.82659,0.25434,0.86484,-17.10316
14263.53479,1.0,35.93134,0.87596,0.24442,0.90942,-15.5909
14263.78479,1.0,28.40909,0.91381,0.27781,0.95511,-16.91014
14263.99879,1.0,22.48202,0.95987,0.28254,1.00059,-16.40198
14264.26379,1.0,17.79613,0.99256,0.27669,1.0304,-15.57635
14264.51679,1.0,14.06813,0.99079,0.32078,1.04143,-17.94019
14264.73279,1.0,11.1448,1.10284,0.31364,1.14657,-15.87514
14264.99979,1.0,8.81772,1.10138,0.39623,1.17049,-19.78676
14265.17779,1.0,6.97545,1.14024,0.3449,1.19126,-16.82926
14265.39579,1.0,5.5173,1.27921,0.30687,1.3155,-13.48984
14265.66479,1.0,4.36941,1.41708,0.38891,1.46948,-15.34651
14266.00079,1.0,3.45686,1.42218,0.47027,1.49791,-18.29744
14266.41879,1.0,2.73547,1.37225,0.44083,1.44132,-17.80951
14266.94379,1.0,2.16054,1.35733,0.30626,1.39145,-12.71484
14267.60379,1.0,1.70952,1.43892,0.13722,1.44545,-5.44727
14268.43179,1.0,1.35352,1.60963,0.03511,1.61001,-1.24945
14269.47479,1.0,1.07079,1.79179,0.06628,1.79302,-2.11859
14270.78879,1.0,0.84734,1.88511,0.21751,1.89762,-6.58197
14272.44479,1.0,0.67072,1.84488,0.38453,1.88452,-11.77379
14274.53279,1.0,0.53067,1.63584,0.51844,1.71603,-17.58469
14277.16979,1.0,0.41976,1.35722,0.47874,1.43918,-19.4296
14280.5008,1.0,0.33183,1.15703,0.26039,1.18597,-12.68327
14284.7068,1.0,0.26261,1.14252,-0.03099,1.14294,1.55353
14290.0148,1.0,0.20791,1.32206,-0.24807,1.34513,10.62738
14296.7198,1.0,0.16452,1.59534,-0.28699,1.62095,10.19789
14305.1958,1.0,0.13007,1.82196,-0.13642,1.82706,4.28206
14315.8858,1.0,0.10309,1.89312,0.10786,1.89619,-3.26078
14329.3998,1.0,0.08153,1.8109,0.3125,1.83766,-9.79105
14346.4978,1.0,0.06443,1.68332,0.38962,1.72782,-13.0321
14368.0848,1.0,0.05102,1.56953,0.37349,1.61335,-13.38542
14395.3268,1.0,0.04042,1.54224,0.31142,1.57337,-11.41598
14429.8228,1.0,0.03192,1.5831,0.26479,1.6051,-9.49543
14473.3698,1.0,0.02528,1.65684,0.24593,1.67499,-8.44306
14528.43481,1.0,0.01999,1.75469,0.24741,1.77205,-8.02574
29954.04611,2.0,20004.453,0.33919,-0.01314,0.33945,2.21819
29954.18811,2.0,15829.126,0.34244,0.00283,0.34245,-0.47414
29954.33011,2.0,12516.703,0.34893,0.02152,0.3496,-3.52901
29954.47211,2.0,9909.4424,0.36084,0.03376,0.36242,-5.34548
29954.78011,2.0,7835.48,0.36769,0.04425,0.37034,-6.86205
29954.98111,2.0,6217.2461,0.37942,0.05486,0.38337,-8.22681
29955.21911,2.0,4905.291,0.3911,0.06587,0.39661,-9.56075
29955.45811,2.0,3881.2737,0.40234,0.07556,0.40938,-10.63568
29955.69611,2.0,3070.9827,0.41515,0.08398,0.42356,-11.43649
29955.93411,2.0,2430.7778,0.42975,0.09215,0.43952,-12.10222
29956.17211,2.0,1923.1537,0.44257,0.10044,0.45383,-12.78589
29956.41011,2.0,1522.4358,0.45879,0.1074,0.47119,-13.17531
29956.64811,2.0,1203.8446,0.47557,0.11757,0.48989,-13.8867
29956.88711,2.0,952.86591,0.49353,0.12521,0.50916,-14.23528
29957.12511,2.0,754.27557,0.51052,0.13141,0.52717,-14.43485
29957.36211,2.0,596.71857,0.53234,0.14251,0.55109,-14.98645
29957.60011,2.0,471.96338,0.55179,0.15126,0.57214,-15.32946
29957.83911,2.0,373.20856,0.5736,0.16026,0.59557,-15.60974
29958.07611,2.0,295.47278,0.59981,0.16882,0.62311,-15.71952
29958.31611,2.0,233.87738,0.62556,0.17953,0.65082,-16.01275
29958.55411,2.0,185.05922,0.6531,0.192,0.68073,-16.3827
29958.79011,2.0,146.35823,0.6753,0.20314,0.70519,-16.74193
29959.02611,2.0,115.77804,0.70768,0.21388,0.73929,-16.81595
29959.26111,2.0,91.6721,0.74349,0.22534,0.77689,-16.86102
29959.50611,2.0,72.51701,0.77031,0.23538,0.80547,-16.9913
29959.73511,2.0,57.36816,0.80714,0.2281,0.83875,-15.78074
29959.97211,2.0,45.3629,0.83658,0.23574,0.86916,-15.73728
29960.20411,2.0,35.93134,0.8792,0.26847,0.91928,-16.98066
29960.45411,2.0,28.40909,0.89254,0.27111,0.9328,-16.89612
29960.66911,2.0,22.48202,0.93192,0.29645,0.97793,-17.64603
29960.93411,2.0,17.79613,0.99518,0.31869,1.04496,-17.75676
29961.18611,2.0,14.06813,1.04173,0.28693,1.08052,-15.39961
29961.40211,2.0,11.1448,1.07766,0.3681,1.13879,-18.85906
29961.66911,2.0,8.81772,1.11613,0.31038,1.15849,-15.54045
29961.84711,2.0,6.97545,1.2473,0.32472,1.28888,-14.59221
29962.06611,2.0,5.5173,1.30422,0.42306,1.37112,-17.97193
29962.33511,2.0,4.36941,1.27895,0.41469,1.3445,-17.96501
29962.67011,2.0,3.45686,1.30241,0.31512,1.33999,-13.60124
29963.08911,2.0,2.73547,1.41944,0.2019,1.43373,-8.09541
29963.61411,2.0,2.16054,1.58793,0.17077,1.59708,-6.13832
29964.27311,2.0,1.70952,1.70646,0.24294,1.72367,-8.10259
29965.10211,2.0,1.35352,1.70586,0.36061,1.74355,-11.93632
29966.14411,2.0,1.07079,1.58193,0.43119,1.63964,-15.24698
29967.45811,2.0,0.84734,1.40104,0.38123,1.45198,-15.22202
29969.11411,2.0,0.67072,1.27269,0.23076,1.29344,-10.27711
29971.20311,2.0,0.53067,1.25958,-0.00858,1.25961,0.39037
29973.83911,2.0,0.41976,1.40403,-0.19585,1.41763,7.94099
29977.17111,2.0,0.33183,1.63969,-0.23477,1.65641,8.14832
29981.37611,2.0,0.26261,1.83895,-0.09738,1.84152,3.03128
29986.68511,2.0,0.20791,1.89571,0.14516,1.90126,-4.37867
29993.38911,2.0,0.16452,1.78131,0.36118,1.81756,-11.46199
30001.86611,2.0,0.13007,1.57746,0.44523,1.63909,-15.76149
30012.55611,2.0,0.10309,1.4105,0.38427,1.46191,-15.23963
30026.07011,2.0,0.08153,1.35491,0.25887,1.37942,-10.81644
30043.16811,2.0,0.06443,1.40235,0.17323,1.41301,-7.04182
30064.75412,2.0,0.05102,1.49364,0.12584,1.49893,-4.81582
30091.99712,2.0,0.04042,1.5995,0.12691,1.60452,-4.53662
30126.49212,2.0,0.03192,1.71813,0.16374,1.72592,-5.44385
30170.04012,2.0,0.02528,1.83701,0.24791,1.85366,-7.68577
30225.10512,2.0,0.01999,1.92201,0.37757,1.95874,-11.11395
45335.04496,3.0,20004.453,0.34157,-0.01312,0.34183,2.19919
45335.18696,3.0,15829.126,0.34509,0.00188,0.3451,-0.3116
45335.32896,3.0,12516.703,0.35275,0.02113,0.35339,-3.42727
45335.47096,3.0,9909.4424,0.3624,0.0342,0.36401,-5.39134
45335.77896,3.0,7835.48,0.37138,0.04536,0.37414,-6.9642
45335.97996,3.0,6217.2461,0.37951,0.05617,0.38365,-8.41954
45336.21796,3.0,4905.291,0.39307,0.06651,0.39866,-9.60407
45336.45696,3.0,3881.2737,0.4026,0.07528,0.40958,-10.5916
45336.69496,3.0,3070.9827,0.4172,0.08509,0.42579,-11.52726
45336.93296,3.0,2430.7778,0.43017,0.09286,0.44008,-12.18107
45337.17096,3.0,1923.1537,0.4466,0.10166,0.45803,-12.82384
45337.40896,3.0,1522.4358,0.46015,0.11056,0.47325,-13.51047
45337.64696,3.0,1203.8446,0.47927,0.11676,0.49329,-13.69155
45337.88596,3.0,952.86591,0.49849,0.12597,0.51416,-14.18206
45338.12396,3.0,754.27557,0.51381,0.1351,0.53128,-14.73199
45338.36196,3.0,596.71857,0.53674,0.14073,0.55488,-14.69158
45338.59896,3.0,471.96338,0.55672,0.15133,0.57692,-15.20675
45338.83796,3.0,373.20856,0.57871,0.16248,0.60109,-15.6829
45339.07596,3.0,295.47278,0.6008,0.16631,0.6234,-15.47274
45339.31497,3.0,233.87738,0.62768,0.17646,0.65201,-15.7023
45339.55297,3.0,185.05922,0.65505,0.18549,0.6808,-15.81054
45339.78897,3.0,146.35823,0.68645,0.20126,0.71534,-16.34046
45340.02597,3.0,115.77804,0.71729,0.20971,0.74732,-16.29671
45340.25997,3.0,91.6721,0.7478,0.21475,0.77802,-16.02277
45340.50497,3.0,72.51701,0.78228,0.23212,0.81599,-16.52656
45340.73497,3.0,57.36816,0.79962,0.23688,0.83397,-16.50151
45340.97097,3.0,45.3629,0.83443,0.25073,0.87128,-16.72448
45341.20297,3.0,35.93134,0.89327,0.25392,0.92866,-15.8681
45341.45397,3.0,28.40909,0.91979,0.28326,0.96242,-17.11651
45341.66797,3.0,22.48202,0.96816,0.29593,1.01237,-16.99625
45341.93297,3.0,17.79613,1.01489,0.28943,1.05535,-15.91731
45342.18497,3.0,14.06813,1.01019,0.30207,1.05438,-16.64782
45342.40097,3.0,11.1448,1.12615,0.33236,1.17417,-16.44299
45342.66897,3.0,8.81772,1.105,0.36395,1.16339,-18.23012
45342.84697,3.0,6.97545,1.18149,0.31267,1.22217,-14.82276
45343.06497,3.0,5.5173,1.33051,0.31758,1.36789,-13.42474
45343.33397,3.0,4.36941,1.39488,0.41043,1.45401,-16.39616
45343.66897,3.0,3.45686,1.3632,0.42429,1.4277,-17.28853
45344.08797,3.0,2.73547,1.3383,0.33255,1.379,-13.95447
45344.61297,3.0,2.16054,1.38815,0.1858,1.40053,-7.62342
45345.27197,3.0,1.70952,1.52469,0.07589,1.52658,-2.84957
45346.10097,3.0,1.35352,1.68648,0.07474,1.68813,-2.5375
45347.14397,3.0,1.07079,1.7827,0.18326,1.79209,-5.8693
45348.45797,3.0,0.84734,1.75201,0.33693,1.78412,-10.88565
45350.11297,3.0,0.67072,1.61448,0.4329,1.67151,-15.01013
