time/s,cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
12245.20317,1.0,20004.453,0.28914,-0.01458,0.28951,2.88747
12245.34617,1.0,15829.126,0.29589,0.00558,0.29595,-1.08065
12245.48817,1.0,12516.703,0.30454,0.02354,0.30545,-4.41934
12245.63017,1.0,9909.4424,0.31619,0.03907,0.3186,-7.04353
12245.79417,1.0,7835.48,0.32735,0.05095,0.33129,-8.84739
12245.99517,1.0,6217.2461,0.33671,0.06378,0.34269,-10.72626
12246.23317,1.0,4905.291,0.35011,0.07385,0.35781,-11.91108
12246.47217,1.0,3881.2737,0.36263,0.08455,0.37236,-13.12396
12246.70917,1.0,3070.9827,0.37775,0.09491,0.38949,-14.10345
12246.94717,1.0,2430.7778,0.39368,0.10505,0.40746,-14.94012
12247.18617,1.0,1923.1537,0.40975,0.11166,0.42469,-15.24325
12247.42317,1.0,1522.4358,0.42726,0.12166,0.44424,-15.89385
12247.66217,1.0,1203.8446,0.44783,0.12952,0.46619,-16.1307
12247.90017,1.0,952.86591,0.46845,0.13961,0.48881,-16.5956
12248.13917,1.0,754.27557,0.48784,0.14887,0.51005,-16.96986
12248.37617,1.0,596.71857,0.51215,0.15926,0.53634,-17.27367
12248.61317,1.0,471.96338,0.53567,0.16903,0.5617,-17.51284
12248.85217,1.0,373.20856,0.5618,0.17565,0.58862,-17.36215
12249.09017,1.0,295.47278,0.58916,0.18584,0.61777,-17.50671
12249.32917,1.0,233.87738,0.61754,0.19642,0.64803,-17.64446
12249.56717,1.0,185.05922,0.64852,0.20505,0.68017,-17.54554
12249.80317,1.0,146.35823,0.68116,0.21439,0.7141,-17.47096
12250.04017,1.0,115.77804,0.71409,0.22374,0.74832,-17.3967
12250.27417,1.0,91.6721,0.74817,0.23227,0.7834,-17.24681
12250.52017,1.0,72.51701,0.78561,0.23899,0.82116,-16.92046
12250.74917,1.0,57.36816,0.82441,0.24586,0.86029,-16.60563
12250.98517,1.0,45.3629,0.86346,0.24992,0.8989,-16.14248
12251.21817,1.0,35.93134,0.90187,0.25474,0.93716,-15.77241
12251.46817,1.0,28.40909,0.94288,0.26054,0.97821,-15.44687
12251.68217,1.0,22.48202,0.98315,0.26359,1.01788,-15.00838
12251.94717,1.0,17.79613,1.02496,0.26859,1.05957,-14.68422
12252.20017,1.0,14.06813,1.06829,0.2718,1.10232,-14.27468
12252.41617,1.0,11.1448,1.11189,0.27497,1.14538,-13.89066
12252.68317,1.0,8.81772,1.16245,0.27189,1.19382,-13.16456
12252.86117,1.0,6.97545,1.2069,0.26451,1.23555,-12.36185
12253.07917,1.0,5.5173,1.25753,0.25764,1.28365,-11.57863
12253.34817,1.0,4.36941,1.29701,0.23856,1.31877,-10.42203
12253.68417,1.0,3.45686,1.34141,0.2199,1.35931,-9.30986
12254.10217,1.0,2.73547,1.3742,0.20218,1.38899,-8.36964
12254.62717,1.0,2.16054,1.40157,0.17852,1.41289,-7.25872
12255.28717,1.0,1.70952,1.42466,0.15845,1.43344,-6.34623
12256.11517,1.0,1.35352,1.44332,0.14185,1.45028,-5.61297
12257.15817,1.0,1.07079,1.45715,0.12744,1.46271,-4.99825
12258.47217,1.0,0.84734,1.46855,0.11506,1.47305,-4.48002
12260.12717,1.0,0.67072,1.47927,0.10629,1.48308,-4.11
12262.21617,1.0,0.53067,1.48922,0.10039,1.4926,-3.85662
12264.85317,1.0,0.41976,1.49793,0.0981,1.50114,-3.74694
12268.18417,1.0,0.33183,1.50558,0.09817,1.50877,-3.73069
